bin_timestamp,bin_index,active_jobs,cpu_ReadMB_sum,cpu_WriteMB_sum,cpu_ReadMB_max,cpu_WriteMB_max,cpu_CPUUtilization_mean,cpu_CPUUtilization_max,cpu_RSS_max,gpu_utilization_gpu_pct_mean,gpu_utilization_gpu_pct_max,gpu_memory_used_MiB_max,gpu_power_draw_W_mean
2021-06-11 17:20:00+00:00,16336,7,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 17:25:00+00:00,16337,7,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 17:30:00+00:00,16338,7,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 17:35:00+00:00,16339,7,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 17:40:00+00:00,16340,7,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 17:45:00+00:00,16341,7,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 17:50:00+00:00,16342,7,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 17:55:00+00:00,16343,7,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 18:00:00+00:00,16344,7,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 18:05:00+00:00,16345,7,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 18:10:00+00:00,16346,7,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 18:15:00+00:00,16347,7,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 18:20:00+00:00,16348,7,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 18:25:00+00:00,16349,7,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 18:30:00+00:00,16350,7,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 18:35:00+00:00,16351,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 18:40:00+00:00,16352,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 18:45:00+00:00,16353,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 18:50:00+00:00,16354,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 18:55:00+00:00,16355,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 19:00:00+00:00,16356,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 19:05:00+00:00,16357,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 19:10:00+00:00,16358,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 19:15:00+00:00,16359,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 19:20:00+00:00,16360,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 19:25:00+00:00,16361,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 19:30:00+00:00,16362,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 19:35:00+00:00,16363,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 19:40:00+00:00,16364,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 19:45:00+00:00,16365,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 19:50:00+00:00,16366,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 19:55:00+00:00,16367,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 20:00:00+00:00,16368,6,0,0,0,0,0,0,0,0,0,0,0
